ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
18.9703,-24.2921,DEV,-99,0.6165,20.7567,19.4995,18.4063
18.9796,-27.9862,SER,-99,0.2599,19.867,19.1254,18.5837
19.5327,-30.6116,SER,-99,0.258,18.7987,17.3391,16.5778
19.5401,1.0497,SER,-99,0.2787,19.2113,18.1017,17.3744
19.8533,-12.8717,SER,-99,0.3706,19.6729,18.1425,17.255
20.4801,-10.1111,SER,-99,0.3529,18.954,17.3458,16.4073
20.775,-18.34,SER,-99,0.0156,17.5937,17.335,17.1442
21.3726,-65.4644,SER,-99,0.3263,19.4587,17.9768,17.1574
21.4026,-58.2908,SER,-99,0.4075,19.7007,18.1775,17.3015
21.46,-42.3215,SER,-99,0.3021,19.7348,18.4771,17.7604
22.0148,-15.039,SER,-99,0.3826,20.5987,18.8901,18.0559
22.4405,-21.2715,REX,-99,0.217,19.1432,18.0654,17.392
22.518,-22.7513,SER,-99,0.5481,20.6479,19.2,18.0916
22.745,-19.4678,DEV,-99,0.6111,21.1089,19.6127,18.3341
23.2083,-47.127,SER,-99,0.7095,21.7538,20.1026,18.5294
23.6096,-20.635,SER,-99,0.183,18.7964,17.7509,17.0727
23.9363,-29.5355,SER,-99,0.165,18.3662,17.6888,17.1656
24.5402,-17.2599,SER,-99,0.2175,18.8627,17.7074,16.9835
25.2094,-12.2521,SER,-99,0.5676,20.6955,18.8542,17.5276
25.2303,-27.1531,SER,-99,0.5325,21.8938,19.9562,18.6875
25.3529,-24.5256,SER,-99,0.192,19.5699,18.4313,17.7299
25.4688,-10.5117,SER,0.3886,0.385,20.3927,18.6277,17.7219
25.5049,-0.983,SER,-99,0.2225,18.175,17.1418,16.4686
25.8447,-32.352,SER,-99,0.2963,19.2906,17.8758,17.0676
25.8866,-37.2519,SER,-99,0.285,18.7034,17.353,16.5751
26.5856,-32.9531,DEV,-99,0.8183,22.5924,20.4271,18.4782
26.8519,-14.3877,SER,-99,0.332,20.8909,19.4818,18.6423
29.0174,31.3535,DEV,-99,0.3785,20.1282,19.0636,18.0264
29.1086,23.5487,SER,-99,0.329,21.3454,20.456,19.7891
29.1784,20.8688,DEV,-99,0.6516,23.4512,21.3882,19.8452
